"id","model_id","met_name","met_id","formula","charge","compartment","bound","constraint_sense","used_","comment_","lower_bound","upper_bound","balanced","fixed"
86,"140407_iDM2014","Putrescine","ptrc_c","C4H14N2",2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
87,"140407_iDM2014","Sulfate","so4_c","O4S",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
88,"140407_iDM2014","L-Isoleucine","ile_DASH_L_c","C6H13NO2",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
89,"140407_iDM2014","ADP","adp_c","C10H12N5O10P2",-3,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
90,"140407_iDM2014","L-Valine","val_DASH_L_c","C5H11NO2",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
91,"140407_iDM2014","two linked disacharide tetrapeptide murein units (uncrosslinked, middle of chain)","murein4p4p_p","C74H114N14O40",-4,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
92,"140407_iDM2014","Calcium","ca2_c","Ca",2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
93,"140407_iDM2014","Nicotinamide adenine dinucleotide phosphate - reduced","nadph_c","C21H26N7O17P3",-4,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
94,"140407_iDM2014","Acetyl-CoA","accoa_c","C23H34N7O17P3S",-4,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
95,"140407_iDM2014","Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)","pg161_c","C38H70O10P",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
96,"140407_iDM2014","Phosphatidylglycerol (dihexadecanoyl, n-C16:0)","pg160_p","C38H74O10P",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
97,"140407_iDM2014","Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)","pg161_p","C38H70O10P",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
98,"140407_iDM2014","Enterochelin","enter_c","C30H27N3O15",0,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
99,"140407_iDM2014","Thiamine diphosphate","thmpp_c","C12H16N4O7P2S",-2,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
100,"140407_iDM2014","Biotin","btn_c","C10H15N2O3S",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
101,"140407_iDM2014","Ammonium","nh4_c","H4N",1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
102,"140407_iDM2014","Chloride","cl_c","Cl",-1,NULL,"0","E",True,NULL,NULL,NULL,NULL,NULL
