"q1_mass","q3_mass","ms3_mass","met_name","dp","ep","ce","cxp","af","quantifier","ms_mode","ion_intensity_rank","ion_abundance","precursor_formula","product_ion_reference","product_formula","production_ion_notes","met_id","external_reference","q1_mass_units","q3_mass_units","ms3_mass_units","threshold_units","dp_units","ep_units","ce_units","cxp_units","af_units","ms_group","threshold","dwell_weight","component_name","ms_include","ms_is","precursor_fragment","product_fragment","precursor_exactmass","product_exactmass","ms_methodtype","id","precursor_fragment_elements","product_fragment_elements"
"128.9","102",NULL,"5,6-Dihydrothymine","108","7","10","5.1",NULL,NULL,"+",1,NULL,NULL,NULL,NULL,NULL,"56dthm",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","56dthm","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",75,NULL,NULL
"128.9","88",NULL,"5,6-Dihydrothymine","10","5.5","10.25","13",NULL,NULL,"+",2,NULL,NULL,NULL,NULL,NULL,"56dthm",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","56dthm","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",76,NULL,NULL
"117","59",NULL,"3-hydroxy-3-methylbutanoic acid","-29.5","-10","-14.9","-7.3",NULL,NULL,"-",1,"1700000","C5H9O3-",NULL,"C2H3O2-","Could also be C3H7O-","3h3mb","HMDB00754","Da","Da","Da","count","volts","volts","volts","volts","volts","3h3mb","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",78,NULL,NULL
"156","74",NULL,"3-Methylbut-2-enoyl-CoA","-60","-8.1","-16","-8.7",NULL,NULL,"-",1,"970000",NULL,NULL,NULL,NULL,"3mb2coa",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","3mb2coa","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",80,NULL,NULL
"158","74",NULL,"2-Methylbutyrylglycine","-56.3","-11.7","-18","-12.1",NULL,NULL,"-",1,"130000","C7H12NO3-",NULL,NULL,NULL,"2mbutgly","HMDB00339","Da","Da","Da","count","volts","volts","volts","volts","volts","2mbutgly","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",81,NULL,NULL
"158","114",NULL,"2-Methylbutyrylglycine","-54","-8.3","-16.8","-14",NULL,NULL,"-",2,"117000","C7H12NO3-",NULL,NULL,NULL,"2mbutgly","HMDB00339","Da","Da","Da","count","volts","volts","volts","volts","volts","2mbutgly","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",82,NULL,NULL
"131.908","73.1",NULL,"Creatine","18","10","13","12",NULL,NULL,"+",1,NULL,NULL,NULL,NULL,NULL,"creat",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","creat","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",83,NULL,NULL
"131.908","91.1",NULL,"Creatine","20","10","5","10",NULL,NULL,"+",2,NULL,NULL,NULL,NULL,NULL,"creat",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","creat","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",84,NULL,NULL
"129.927","62",NULL,"Creatine","-25","-10","-24","-7",NULL,NULL,"-",2,NULL,NULL,NULL,NULL,NULL,"creat",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","creat","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",85,NULL,NULL
"129.927","88",NULL,"Creatine","-25","-10","-16","-11",NULL,NULL,"-",1,NULL,NULL,NULL,NULL,NULL,"creat",NULL,"Da","Da","Da","count","volts","volts","volts","volts","volts","creat","5000","1",NULL,False,False,NULL,NULL,NULL,NULL,"tuning",86,NULL,NULL
