sample_name_abbreviation,component_group_name,component_name,calculated_concentration_units,var,ci_level,max,test_stat,median,used_,ci_lb,iq_1,cv,min,n,iq_3,ci_ub,mean,pvalue_corrected,index_
EColi_BL21,gmp,gmp.gmp_1.Light,umol*gDW-1,0.052427373,0.95,0.769585682,3.618329448,0.279702552,TRUE,0.097940001,0.232166407,67.69670307,0.106303731,6,0.353246897,0.578519073,0.338229537,0.015246275,92
EColi_BL21,gsn,gsn.gsn_1.Light,umol*gDW-1,2.33811E-05,0.95,0.015721934,4.782084693,0.010181967,TRUE,0.0043656,0.00541822,51.22221583,0.003564096,6,0.012415461,0.014514475,0.009440038,0.004961487,95
EColi_BL21,,gth_ratio01,ratio,0.752121034,0.95,4.866033898,9.497732107,3.101026325,TRUE,2.452578127,3.046490749,25.79025935,2.313625079,6,3.599889867,4.272822395,3.362700261,0.000218754,96
EColi_BL21,,gth_ratio01_denominator,ratio,3.251007791,0.95,13.28574173,15.77508687,12.198191,TRUE,9.719759216,10.05278527,15.52758323,9.363989575,6,13.01549812,13.50413984,11.61194953,1.86177E-05,97
EColi_BL21,,gth_ratio01_numerator,ratio,144.6376527,0.95,58.8083812,7.954436594,35.75104488,TRUE,26.43372653,29.65589996,30.79400677,28.44018705,6,44.90325469,51.67588491,39.05480572,0.00050628,98
EColi_BL21,gthox,gthox.gthox_1.Light,umol*gDW-1,3.251007791,0.95,13.28574173,15.77508687,12.198191,TRUE,9.719759216,10.05278527,15.52758323,9.363989575,6,13.01549812,13.50413984,11.61194953,1.86177E-05,99
EColi_BL21,gthrd,gthrd.gthrd_1.Light,umol*gDW-1,144.6376527,0.95,58.8083812,7.954436594,35.75104488,TRUE,26.43372653,29.65589996,30.79400677,28.44018705,6,44.90325469,51.67588491,39.05480572,0.00050628,101
EColi_BL21,gtp,gtp.gtp_1.Light,umol*gDW-1,0.552291115,0.95,6.39025012,17.98537654,5.712836277,TRUE,4.676771465,4.942994138,13.6193409,4.429262845,6,5.784563862,6.236574758,5.456673112,9.75951E-06,103
EColi_BL21,gua,gua.gua_1.Light,umol*gDW-1,0.006238546,0.95,0.227542149,3.04871936,0.089759482,TRUE,0.015417675,0.050773745,80.34487446,0.002185595,6,0.129551505,0.181195899,0.098306787,0.02846589,105
EColi_BL21,his-L,his-L.his-L_1.Light,umol*gDW-1,0.00577908,0.95,1.377710065,40.30748951,1.250200777,TRUE,1.17117022,1.230372201,6.077008945,1.141414653,6,1.259352127,1.330726955,1.250948588,1.77E-07,106
